1/m,1/m,1/m,1/m,1/m,1/m
3.6328e+06,0,0,0,0,6291
3.6352e+06,0,0,0,0,6298
3.6376e+06,0,0,0,0,6304
3.6401e+06,0,0,0,0,6310
3.6425e+06,0,0,0,0,6317
3.6449e+06,0,0,0,0,6323
3.6473e+06,0,0,0,0,6330
3.6497e+06,0,0,0,0,6336
3.6521e+06,0,0,0,0,6342
3.6545e+06,0,0,0,0,6349
3.6569e+06,0,0,0,0,6355
3.6593e+06,0,0,0,0,6361
3.6618e+06,0,0,0,0,6368
3.6642e+06,0,0,0,0,6374
3.6666e+06,0,0,0,0,6381
3.669e+06,0,0,0,0,6387
3.6714e+06,0,0,0,0,6393
3.6738e+06,0,0,0,0,6400
3.6762e+06,0,0,0,0,6406
3.6786e+06,0,0,0,0,6413
3.681e+06,0,0,0,0,6419
3.6834e+06,0,0,0,0,6425
3.6859e+06,0,0,0,0,6432
3.6883e+06,0,0,0,0,6438
3.6907e+06,0,0,0,0,6445
3.6931e+06,0,0,0,0,6451
3.6955e+06,0,0,0,0,6457
3.6979e+06,0,0,0,0,6464
3.7003e+06,0,0,0,0,6470
3.7027e+06,0,0,0,0,6476
3.7051e+06,0,0,0,0,6483
3.7076e+06,0,0,0,0,6489
3.71e+06,0,0,0,0,6496
3.7124e+06,0,0,0,0,6502
3.7148e+06,0,0,0,0,6508
3.7172e+06,0,0,0,0,6515
3.7196e+06,0,0,0,0,6521
3.722e+06,0,0,0,0,6528
3.7244e+06,0,0,0,0,6534
3.7268e+06,0,0,0,0,6540
3.7292e+06,0,0,0,0,6547
3.7317e+06,0,0,0,0,6553
3.7341e+06,0,0,0,0,6560
3.7365e+06,0,0,0,0,6566
3.7389e+06,0,0,0,0,6572
3.7413e+06,0,0,0,0,6579
3.7437e+06,0,0,0,0,6585
3.7461e+06,0,0,0,0,6591
3.7485e+06,0,0,0,0,6598
3.7509e+06,0,0,0,0,6604
3.7534e+06,0,0,0,0,6611
3.7558e+06,0,0,0,0,6617
3.7582e+06,0,0,0,0,6623
3.7606e+06,0,0,0,0,6630
3.763e+06,0,0,0,0,6636
3.7654e+06,0,0,0,0,6643
3.7678e+06,0,0,0,0,6649
3.7702e+06,0,0,0,0,6655
3.7726e+06,0,0,0,0,6662
3.775e+06,0,0,0,0,6668
3.7775e+06,0,0,0,0,6675
3.7799e+06,0,0,0,0,6681
3.7823e+06,0,0,0,0,6687
3.7847e+06,0,0,0,0,6694
3.7871e+06,0,0,0,0,6700
3.7895e+06,0,0,0,0,6706
3.7919e+06,0,0,0,0,6713
3.7943e+06,0,0,0,0,6719
3.7967e+06,0,0,0,0,6726
3.7992e+06,0,0,0,0,6732
3.8016e+06,0,0,0,0,6738
3.804e+06,0,0,0,0,6745
3.8064e+06,0,0,0,0,6751
3.8088e+06,0,0,0,0,6758
3.8112e+06,0,0,0,0,6764
3.8136e+06,0,0,0,0,6770
3.816e+06,0,0,0,0,6777
3.8184e+06,0,0,0,0,6783
3.8208e+06,0,0,0,0,6789
3.8233e+06,0,0,0,0,6796
3.8257e+06,0,0,0,0,6802
3.8281e+06,0,0,0,0,6809
3.8305e+06,0,0,0,0,6815
3.8329e+06,0,0,0,0,6821
3.8353e+06,0,0,0,0,6828
3.8377e+06,0,0,0,0,6834
3.8401e+06,0,0,0,0,6841
3.8425e+06,0,0,0,0,6847
3.845e+06,0,0,0,0,6853
3.8474e+06,0,0,0,0,6860
3.8498e+06,0,0,0,0,6866
3.8522e+06,0,0,0,0,6873
3.8546e+06,0,0,0,0,6879
3.857e+06,0,0,0,0,6885
3.8594e+06,0,0,0,0,6892
3.8618e+06,0,0,0,0,6898
3.8642e+06,0,0,0,0,6904
3.8667e+06,0,0,0,0,6911
3.8691e+06,0,0,0,0,6917
3.8715e+06,0,0,0,0,6924
3.8739e+06,0,0,0,0,6930
3.8763e+06,0,0,0,0,6936
3.8787e+06,0,0,0,0,6943
3.8811e+06,0,0,0,0,6949
3.8835e+06,0,0,0,0,6956
3.8859e+06,0,0,0,0,6962
3.8883e+06,0,0,0,0,6968
3.8908e+06,0,0,0,0,6975
3.8932e+06,0,0,0,0,6981
3.8956e+06,0,0,0,0,6988
3.898e+06,0,0,0,0,6994
3.9004e+06,0,0,0,0,7000
3.9028e+06,0,0,0,0,7007
3.9052e+06,0,0,0,0,7013
3.9076e+06,0,0,0,0,7019
3.91e+06,0,0,0,0,7026
3.9125e+06,0,0,0,0,7032
3.9149e+06,0,0,0,0,7039
3.9173e+06,0,0,0,0,7045
3.9197e+06,0,0,0,0,7051
3.9221e+06,0,0,0,0,7058
3.9245e+06,0,0,0,0,7064
3.9269e+06,0,0,0,0,6119
3.9293e+06,0,0,0,0,4610
3.9317e+06,0,0,0,0,3100
3.9341e+06,0,0,0,0,1897
3.9366e+06,0,0,0,0,1458
3.939e+06,0,0,0,0,1450
3.9414e+06,0,0,0,0,1442
3.9438e+06,0,0,0,0,1434
3.9462e+06,0,0,0,0,1426
3.9486e+06,0,0,0,0,1418
3.951e+06,0,0,0,0,1410
3.9534e+06,0,0,0,0,1402
3.9558e+06,0,0,0,0,1394
3.9583e+06,0,0,0,0,1386
3.9607e+06,0,0,0,0,1378
3.9631e+06,0,0,0,0,1370
3.9655e+06,0,0,0,0,1362
3.9679e+06,0,0,0,0,1354
3.9703e+06,0,0,0,0,1346
3.9727e+06,0,0,0,0,1338
3.9751e+06,0,0,0,0,1330
3.9775e+06,0,0,0,0,1322
3.9799e+06,0,0,0,0,1314
3.9824e+06,0,0,0,0,1306
3.9848e+06,0,0,0,0,1298
3.9872e+06,0,0,0,0,1290
3.9896e+06,0,0,0,0,1282
3.992e+06,0,0,0,0,1274
3.9944e+06,0,0,0,0,1266
3.9968e+06,0,0,0,0,1258
3.9992e+06,0,0,0,0,1250
4.0016e+06,0,0,0,0,1242
4.0041e+06,0,0,0,0,1234
4.0065e+06,0,0,0,0,1226
4.0089e+06,0,0,0,0,1217
4.0113e+06,0,0,0,0,1209
4.0137e+06,0,0,0,0,1201
4.0161e+06,0,0,0,0,1193
4.0185e+06,0,0,0,0,1185
4.0209e+06,0,0,0,0,1177
4.0233e+06,0,0,0,0,1169
4.0257e+06,0,0,0,0,1161
4.0282e+06,0,0,0,0,1153
4.0306e+06,0,0,0,0,1145
4.033e+06,0,0,0,0,1137
4.0354e+06,0,0,0,0,1129
4.0378e+06,0,0,0,0,1121
4.0402e+06,0,0,0,0,1113
4.0426e+06,0,0,0,0,1105
4.045e+06,0,0,0,0,1097
4.0474e+06,0,0,0,0,1089
4.0499e+06,0,0,0,0,1081
4.0523e+06,0,0,0,0,1073
4.0547e+06,0,0,0,0,1065
4.0571e+06,0,0,0,0,1057
4.0595e+06,0,0,0,0,1049
4.0619e+06,0,0,0,0,1041
4.0643e+06,0,0,0,0,930
4.0667e+06,0,0,0,0,711
4.0691e+06,0,0,0,0,708
4.0715e+06,0,0,0,0,705
4.074e+06,0,0,0,0,702
4.0764e+06,0,0,0,0,699
4.0788e+06,0,0,0,0,695
4.0812e+06,0,0,0,0,692
4.0836e+06,0,0,0,0,689
4.086e+06,0,0,0,0,686
4.0884e+06,0,0,0,0,683
4.0908e+06,0,0,0,0,680
4.0932e+06,0,0,0,0,677
4.0957e+06,0,0,0,0,674
4.0981e+06,0,0,0,0,671
4.1005e+06,0,0,0,0,668
4.1029e+06,0,0,0,0,665
4.1053e+06,0,0,0,0,662
4.1077e+06,0,0,0,0,659
4.1101e+06,0,0,0,0,655
4.1125e+06,0,0,0,0,652
4.1149e+06,0,0,0,0,649
4.1174e+06,0,0,0,0,646
4.1198e+06,0,0,0,0,643
4.1222e+06,0,0,0,0,640
4.1246e+06,0,0,0,0,637
4.127e+06,0,0,0,0,634
4.1294e+06,0,0,0,0,631
4.1318e+06,0,0,0,0,628
4.1342e+06,0,0,0,0,625
4.1366e+06,0,0,0,0,622
4.139e+06,0,0,0,0,619
4.1415e+06,0,0,0,0,615
4.1439e+06,0,0,0,0,612
4.1463e+06,0,0,0,0,609
4.1487e+06,0,0,0,0,606
4.1511e+06,0,0,0,0,603
4.1535e+06,0,0,0,0,600
4.1559e+06,0,0,0,0,597
4.1583e+06,0,0,0,0,594
4.1607e+06,0,0,0,0,591
4.1632e+06,0,0,0,0,588
4.1656e+06,0,0,0,0,585
4.168e+06,0,0,0,0,582
4.1704e+06,0,0,0,0,579
4.1728e+06,0,0,0,0,575
4.1752e+06,0,0,0,0,572
4.1776e+06,0,0,0,0,569
4.18e+06,0,0,0,0,566
4.1824e+06,0,0,0,0,563
4.1848e+06,0,0,0,0,560
4.1873e+06,0,0,0,0,557
4.1897e+06,0,0,0,0,554
4.1921e+06,0,0,0,0,551
4.1945e+06,0,0,0,0,548
4.1969e+06,0,0,0,0,545
4.1993e+06,0,0,0,0,542
4.2017e+06,0,0,0,0,539
4.2041e+06,0,0,0,0,535
4.2065e+06,0,0,0,0,532
4.209e+06,0,0,0,0,529
4.2114e+06,0,0,0,0,526
4.2138e+06,0,0,0,0,523
4.2162e+06,0,0,0,0,520
4.2186e+06,0,0,0,0,517
4.221e+06,0,0,0,0,514
4.2234e+06,0,0,0,0,511
4.2258e+06,0,0,0,0,508
4.2282e+06,0,0,0,0,505
4.2306e+06,0,0,0,0,502
4.2331e+06,0,0,0,0,499
4.2355e+06,0,0,0,0,495
4.2379e+06,0,0,0,0,492
4.2403e+06,0,0,0,0,489
4.2427e+06,0,0,0,0,486
4.2451e+06,0,0,0,0,483
4.2475e+06,0,0,0,0,480
4.2499e+06,0,0,0,0,477
4.2523e+06,0,0,0,0,474
4.2548e+06,0,0,0,0,471
4.2572e+06,0,0,0,0,468
4.2596e+06,0,0,0,0,465
4.262e+06,0,0,0,0,462
4.2644e+06,0,0,0,0,459
4.2668e+06,0,0,0,0,455
4.2692e+06,0,0,0,0,452
4.2716e+06,0,0,0,0,449
4.274e+06,0,0,0,0,446
4.2764e+06,0,0,0,0,443
4.2789e+06,0,0,0,0,440
4.2813e+06,0,0,0,0,437
4.2837e+06,0,0,0,0,434
4.2861e+06,0,0,0,0,431
4.2885e+06,0,0,0,0,428
4.2909e+06,0,0,0,0,425
4.2933e+06,0,0,0,0,422
4.2957e+06,0,0,0,0,419
4.2981e+06,0,0,0,0,415
4.3006e+06,0,0,0,0,412
4.303e+06,0,0,0,0,409
4.3054e+06,0,0,0,0,406
4.3078e+06,0,0,0,0,403
4.3102e+06,0,0,0,0,400
4.3126e+06,0,0,0,0,397
4.315e+06,0,0,0,0,394
4.3174e+06,0,0,0,0,391
4.3198e+06,0,0,0,0,388
4.3222e+06,0,0,0,0,385
4.3247e+06,0,0,0,0,382
4.3271e+06,0,0,0,0,379
4.3295e+06,0,0,0,0,375
4.3319e+06,0,0,0,0,372
4.3343e+06,0,0,0,0,369
4.3367e+06,0,0,0,0,366
4.3391e+06,0,0,0,0,363
4.3415e+06,0,0,0,0,360
4.3439e+06,0,0,0,0,357
4.3464e+06,0,0,0,0,354
4.3488e+06,0,0,0,0,351
4.3512e+06,0,0,0,0,348
4.3536e+06,0,0,0,0,345
4.356e+06,0,0,0,0,342
4.3584e+06,0,0,0,0,339
4.3608e+06,0,0,0,0,335
4.3632e+06,0,0,0,0,332
4.3656e+06,0,0,0,0,329
4.368e+06,0,0,0,0,326
4.3705e+06,0,0,0,0,323
4.3729e+06,0,0,0,0,320
4.3753e+06,0,0,0,0,317
4.3777e+06,0,0,0,0,314
4.3801e+06,0,0,0,0,311
4.3825e+06,0,0,0,0,308
4.3849e+06,0,0,0,0,305
4.3873e+06,0,0,0,0,302
4.3897e+06,0,0,0,0,299
4.3922e+06,0,0,0,0,295
4.3946e+06,0,0,0,0,292
4.397e+06,0,0,0,0,289
4.3994e+06,0,0,0,0,286
4.4018e+06,0,0,0,0,283
4.4042e+06,0,0,0,0,280
4.4066e+06,0,0,0,0,277
4.409e+06,0,0,0,0,274
4.4114e+06,0,0,0,0,271
4.4138e+06,0,0,0,0,268
4.4163e+06,0,0,0,0,265
4.4187e+06,0,0,0,0,262
4.4211e+06,0,0,0,0,259
4.4235e+06,0,0,0,0,255
4.4259e+06,0,0,0,0,252
4.4283e+06,0,0,0,0,249
4.4307e+06,0,0,0,0,246
4.4331e+06,0,0,0,0,243
4.4355e+06,0,0,0,0,240
4.438e+06,0,0,0,0,237
4.4404e+06,0,0,0,0,234
4.4428e+06,0,0,0,0,231
4.4452e+06,0,0,0,0,228
4.4476e+06,0,0,0,0,225
4.45e+06,0,0,0,0,222
4.4524e+06,0,0,0,0,219
4.4548e+06,0,0,0,0,215
4.4572e+06,0,0,0,0,212
4.4597e+06,0,0,0,0,209
4.4621e+06,0,0,0,0,206
4.4645e+06,0,0,0,0,203
4.4669e+06,0,0,0,0,200
4.4693e+06,0,0,0,0,197
4.4717e+06,0,0,0,0,194
4.4741e+06,0,0,0,0,191
4.4765e+06,0,0,0,0,188
4.4789e+06,0,0,0,0,185
4.4813e+06,0,0,0,0,182
4.4838e+06,0,0,0,0,179
4.4862e+06,0,0,0,0,175
4.4886e+06,0,0,0,0,172
4.491e+06,0,0,0,0,169
4.4934e+06,0,0,0,0,166
4.4958e+06,0,0,0,0,163
4.4982e+06,0,0,0,0,160
4.5006e+06,0,0,0,0,157
4.503e+06,0,0,0,0,154
4.5055e+06,0,0,0,0,151
4.5079e+06,0,0,0,0,148
4.5103e+06,0,0,0,0,145
4.5127e+06,0,0,0,0,145
4.5151e+06,0,0,0,0,145
4.5175e+06,0,0,0,0,145
4.5199e+06,0,0,0,0,144
4.5223e+06,0,0,0,0,144
4.5247e+06,0,0,0,0,144
4.5271e+06,0,0,0,0,143
4.5296e+06,0,0,0,0,143
4.532e+06,0,0,0,0,143
4.5344e+06,0,0,0,0,143
4.5368e+06,0,0,0,0,142
4.5392e+06,0,0,0,0,142
4.5416e+06,0,0,0,0,142
4.544e+06,0,0,0,0,142
4.5464e+06,0,0,0,0,141
4.5488e+06,0,0,0,0,141
4.5513e+06,0,0,0,0,141
4.5537e+06,0,0,0,0,141
4.5561e+06,0,0,0,0,140
4.5585e+06,0,0,0,0,140
4.5609e+06,0,0,0,0,140
4.5633e+06,0,0,0,0,140
4.5657e+06,0,0,0,0,139
4.5681e+06,0,0,0,0,139
4.5705e+06,0,0,0,0,139
4.5729e+06,0,0,0,0,138
4.5754e+06,0,0,0,0,138
4.5778e+06,0,0,0,0,138
4.5802e+06,0,0,0,0,138
4.5826e+06,0,0,0,0,137
4.585e+06,0,0,0,0,137
4.5874e+06,0,0,0,0,137
4.5898e+06,0,0,0,0,137
4.5922e+06,0,0,0,0,136
4.5946e+06,0,0,0,0,136
4.5971e+06,0,0,0,0,136
4.5995e+06,0,0,0,0,136
4.6019e+06,0,0,0,0,135
4.6043e+06,0,0,0,0,135
4.6067e+06,0,0,0,0,135
4.6091e+06,0,0,0,0,135
4.6115e+06,0,0,0,0,134
4.6139e+06,0,0,0,0,134
4.6163e+06,0,0,0,0,134
4.6187e+06,0,0,0,0,133
4.6212e+06,0,0,0,0,133
4.6236e+06,0,0,0,0,133
4.626e+06,0,0,0,0,133
4.6284e+06,0,0,0,0,132
4.6308e+06,0,0,0,0,132
4.6332e+06,0,0,0,0,132
4.6356e+06,0,0,0,0,132
4.638e+06,0,0,0,0,131
4.6404e+06,0,0,0,0,131
4.6429e+06,0,0,0,0,131
4.6453e+06,0,0,0,0,131
4.6477e+06,0,0,0,0,130
4.6501e+06,0,0,0,0,130
4.6525e+06,0,0,0,0,130
4.6549e+06,0,0,0,0,129
4.6573e+06,0,0,0,0,129
4.6597e+06,0,0,0,0,129
4.6621e+06,0,0,0,0,129
4.6646e+06,0,0,0,0,128
4.667e+06,0,0,0,0,128
4.6694e+06,0,0,0,0,128
4.6718e+06,0,0,0,0,128
4.6742e+06,0,0,0,0,127
4.6766e+06,0,0,0,0,127
4.679e+06,0,0,0,0,127
4.6814e+06,0,0,0,0,127
4.6838e+06,0,0,0,0,126
4.6862e+06,0,0,0,0,126
4.6887e+06,0,0,0,0,126
4.6911e+06,0,0,0,0,126
4.6935e+06,0,0,0,0,125
4.6959e+06,0,0,0,0,125
4.6983e+06,0,0,0,0,125
4.7007e+06,0,0,0,0,124
4.7031e+06,0,0,0,0,124
4.7055e+06,0,0,0,0,124
4.7079e+06,0,0,0,0,124
4.7104e+06,0,0,0,0,123
4.7128e+06,0,0,0,0,123
4.7152e+06,0,0,0,0,123
4.7176e+06,0,0,0,0,123
4.72e+06,0,0,0,0,122
4.7224e+06,0,0,0,0,122
4.7248e+06,0,0,0,0,122
4.7272e+06,0,0,0,0,122
4.7296e+06,0,0,0,0,121
4.732e+06,0,0,0,0,121
4.7345e+06,0,0,0,0,121
4.7369e+06,0,0,0,0,121
4.7393e+06,0,0,0,0,120
4.7417e+06,0,0,0,0,120
4.7441e+06,0,0,0,0,120
4.7465e+06,0,0,0,0,119
4.7489e+06,0,0,0,0,119
4.7513e+06,0,0,0,0,119
4.7537e+06,0,0,0,0,119
4.7562e+06,0,0,0,0,118
4.7586e+06,0,0,0,0,118
4.761e+06,0,0,0,0,118
4.7634e+06,0,0,0,0,118
4.7658e+06,0,0,0,0,117
4.7682e+06,0,0,0,0,117
4.7706e+06,0,0,0,0,117
4.773e+06,0,0,0,0,117
4.7754e+06,0,0,0,0,116
4.7778e+06,0,0,0,0,116
4.7803e+06,0,0,0,0,116
4.7827e+06,0,0,0,0,116
4.7851e+06,0,0,0,0,115
4.7875e+06,0,0,0,0,115
4.7899e+06,0,0,0,0,115
4.7923e+06,0,0,0,0,114
4.7947e+06,0,0,0,0,114
4.7971e+06,0,0,0,0,114
4.7995e+06,0,0,0,0,114
4.802e+06,0,0,0,0,113
4.8044e+06,0,0,0,0,113
4.8068e+06,0,0,0,0,113
4.8092e+06,0,0,0,0,113
4.8116e+06,0,0,0,0,112
4.814e+06,0,0,0,0,112
4.8164e+06,0,0,0,0,112
4.8188e+06,0,0,0,0,112
4.8212e+06,0,0,0,0,111
4.8236e+06,0,0,0,0,111
4.8261e+06,0,0,0,0,111
4.8285e+06,0,0,0,0,111
4.8309e+06,0,0,0,0,110
4.8333e+06,0,0,0,0,110
4.8357e+06,0,0,0,0,110
4.8381e+06,0,0,0,0,109
4.8405e+06,0,0,0,0,109
4.8429e+06,0,0,0,0,109
4.8453e+06,0,0,0,0,109
4.8478e+06,0,0,0,0,108
4.8502e+06,0,0,0,0,108
4.8526e+06,0,0,0,0,108
4.855e+06,0,0,0,0,108
