 Y,Z,TEMPERATURE
 m,m,C
-0.13000E+01, 0.60000E+00, 0.20002E+02
-0.12000E+01, 0.60000E+00, 0.20000E+02
-0.11000E+01, 0.60000E+00, 0.20001E+02
-0.10000E+01, 0.60000E+00, 0.20002E+02
-0.90000E+00, 0.60000E+00, 0.20003E+02
-0.80000E+00, 0.60000E+00, 0.20003E+02
-0.70000E+00, 0.60000E+00, 0.20002E+02
-0.60000E+00, 0.60000E+00, 0.20002E+02
-0.50000E+00, 0.60000E+00, 0.20002E+02
-0.40000E+00, 0.60000E+00, 0.20002E+02
-0.30000E+00, 0.60000E+00, 0.20000E+02
-0.20000E+00, 0.60000E+00, 0.20000E+02
-0.10000E+00, 0.60000E+00, 0.20000E+02
 0.00000E+00, 0.60000E+00, 0.63616E+02
 0.10000E+00, 0.60000E+00, 0.62840E+02
 0.20000E+00, 0.60000E+00, 0.61666E+02
 0.30000E+00, 0.60000E+00, 0.61427E+02
 0.40000E+00, 0.60000E+00, 0.61750E+02
