s,kW,kg/s,Pa,kg/s,kg/s,C,C,C,C,C,%,%,%,%,%,%,%,%
Time,"HRR","MLR","P_L1","Minlet","Moutlet","TG_L1","TG_L1_SE_105","TG_L1_SE_205","TG_L1_SE_390","TP_L1_WC_350","O2","O2_L1_BAS","O2_L1_MILIEU","O2_L1_HAUT","CO2","CO2_L1_BAS","CO2_L1_MILIEU","CO2_L1_HAUT"
 5.5000808E+002, 6.9938319E+002, 5.6093561E-002, 1.8095966E+002, 1.0862037E+000, 1.2176481E+000, 2.0289162E+002, 1.1643065E+002, 1.9186789E+002, 3.2407742E+002, 1.5227248E+002, 1.5515633E+001, 1.7563095E+001, 1.4746750E+001, 1.4407795E+001, 3.0188543E+000, 1.8983089E+000, 3.4423027E+000, 3.6281268E+000
 5.6001047E+002, 7.0450644E+002, 5.6200000E-002, 1.7935430E+002, 1.0871007E+000, 1.2120514E+000, 2.0575652E+002, 1.2521198E+002, 1.9929897E+002, 3.3151564E+002, 1.5682830E+002, 1.5424531E+001, 1.7465513E+001, 1.4607683E+001, 1.4208965E+001, 3.0688023E+000, 1.9518059E+000, 3.5185430E+000, 3.7371305E+000
 5.7000419E+002, 7.0779108E+002, 5.6566383E-002, 1.5416895E+002, 1.1004376E+000, 1.1974746E+000, 2.0750467E+002, 1.2717870E+002, 2.0381551E+002, 3.3655970E+002, 1.6366290E+002, 1.5351170E+001, 1.7396681E+001, 1.4251868E+001, 1.4034345E+001, 3.1089570E+000, 1.9895416E+000, 3.7136102E+000, 3.8328618E+000
 5.8000458E+002, 7.2425329E+002, 5.8093264E-002, 1.9035489E+002, 1.0809774E+000, 1.2130868E+000, 2.1013619E+002, 1.2758532E+002, 1.9882233E+002, 3.3982430E+002, 1.6551077E+002, 1.5274303E+001, 1.7332348E+001, 1.4372779E+001, 1.4081014E+001, 3.1509903E+000, 2.0248103E+000, 3.6473235E+000, 3.8072770E+000
 5.9000542E+002, 7.2623190E+002, 5.8200000E-002, 1.7937845E+002, 1.0867461E+000, 1.2013212E+000, 2.1294721E+002, 1.2855744E+002, 2.0194360E+002, 3.3449981E+002, 1.6961764E+002, 1.5197771E+001, 1.7270032E+001, 1.4674131E+001, 1.3980562E+001, 3.1929755E+000, 2.0589738E+000, 3.4821143E+000, 3.8623470E+000
 6.0001140E+002, 7.3475598E+002, 5.8567339E-002, 1.5097287E+002, 1.1019666E+000, 1.1863218E+000, 2.1450784E+002, 1.2525661E+002, 1.9862545E+002, 3.4847020E+002, 1.7367609E+002, 1.5127560E+001, 1.7221604E+001, 1.3957403E+001, 1.3743865E+001, 3.2315373E+000, 2.0855233E+000, 3.8750436E+000, 3.9921110E+000
 6.1001187E+002, 7.5551297E+002, 6.0715981E-002, 1.8472796E+002, 1.0838936E+000, 1.1969749E+000, 2.1623746E+002, 1.3012181E+002, 2.0615319E+002, 3.4612516E+002, 1.8064487E+002, 1.5059009E+001, 1.7249733E+001, 1.4339323E+001, 1.3796311E+001, 3.2689463E+000, 2.0701019E+000, 3.6656649E+000, 3.9633586E+000
 6.2000618E+002, 7.6392130E+002, 6.1000000E-002, 1.7452237E+002, 1.0892964E+000, 1.1951638E+000, 2.1860736E+002, 1.3324329E+002, 2.0935745E+002, 3.5454746E+002, 1.8766417E+002, 1.4962579E+001, 1.7131502E+001, 1.3995203E+001, 1.3585140E+001, 3.3217759E+000, 2.1349193E+000, 3.8543206E+000, 4.0791280E+000
 6.3001413E+002, 7.5881381E+002, 6.1000000E-002, 2.0023611E+002, 1.0753052E+000, 1.2054633E+000, 2.2087224E+002, 1.3396574E+002, 2.1079721E+002, 3.5174123E+002, 1.8961887E+002, 1.4885345E+001, 1.7058391E+001, 1.4162794E+001, 1.3298271E+001, 3.3641457E+000, 2.1750010E+000, 3.7624429E+000, 4.2363969E+000
 6.4001184E+002, 7.8057707E+002, 6.2316784E-002, 1.8828784E+002, 1.0817186E+000, 1.1940389E+000, 2.2374915E+002, 1.4119338E+002, 2.1726819E+002, 3.6785987E+002, 1.9536699E+002, 1.4818106E+001, 1.6999202E+001, 1.3434830E+001, 1.3664423E+001, 3.4007026E+000, 2.2074496E+000, 4.1615319E+000, 4.0356626E+000
