s,m/s
Time,"Ub"
 4.0800497E+001, 1.0623846E+000
 4.0900543E+001, 1.0568403E+000
 4.1000588E+001, 1.0483974E+000
 4.1101458E+001, 1.0407352E+000
 4.1201584E+001, 1.0405489E+000
 4.1300479E+001, 1.0386706E+000
 4.1400532E+001, 1.0361951E+000
 4.1501325E+001, 1.0305950E+000
 4.1601546E+001, 1.0271791E+000
 4.1700865E+001, 1.0210350E+000
 4.1800098E+001, 1.0203560E+000
 4.1900520E+001, 1.0176478E+000
 4.2000187E+001, 1.0129874E+000
 4.2100135E+001, 1.0036046E+000
 4.2200084E+001, 9.9347323E-001
 4.2300676E+001, 9.8092503E-001
 4.2401201E+001, 9.6753130E-001
 4.2500270E+001, 9.5771372E-001
 4.2600571E+001, 9.5087453E-001
 4.2701273E+001, 9.5107160E-001
 4.2800240E+001, 9.5014931E-001
 4.2900663E+001, 9.4741647E-001
 4.3000519E+001, 9.4570067E-001
 4.3100211E+001, 9.4245021E-001
 4.3200572E+001, 9.3747457E-001
 4.3300262E+001, 9.3473755E-001
 4.3400938E+001, 9.3694774E-001
 4.3501614E+001, 9.4650058E-001
 4.3601043E+001, 9.5740688E-001
 4.3701260E+001, 9.7216607E-001
 4.3800068E+001, 9.9079654E-001
 4.3900159E+001, 1.0043964E+000
 4.4000429E+001, 1.0115389E+000
 4.4101458E+001, 1.0156255E+000
 4.4201396E+001, 1.0147145E+000
 4.4300144E+001, 1.0092645E+000
 4.4400566E+001, 1.0130604E+000
 4.4500988E+001, 1.0172802E+000
 4.4601410E+001, 1.0235354E+000
 4.4700158E+001, 1.0219486E+000
 4.4800754E+001, 1.0156169E+000
 4.4900840E+001, 1.0086814E+000
 4.5001261E+001, 1.0035133E+000
 4.5100422E+001, 1.0042552E+000
 4.5201236E+001, 1.0060059E+000
 4.5300396E+001, 1.0047534E+000
 4.5401210E+001, 1.0007951E+000
 4.5500371E+001, 9.9838817E-001
 4.5600372E+001, 9.9110501E-001
 4.5700153E+001, 9.8642813E-001
 4.5801617E+001, 9.8824224E-001
 4.5900350E+001, 9.8136758E-001
 4.6000683E+001, 9.6885128E-001
 4.6100856E+001, 9.6074926E-001
 4.6200112E+001, 9.5532977E-001
 4.6300918E+001, 9.4891025E-001
 4.6401185E+001, 9.4446641E-001
 4.6501816E+001, 9.5058847E-001
 4.6600382E+001, 9.6148938E-001
 4.6700239E+001, 9.6628474E-001
 4.6800659E+001, 9.6556076E-001
 4.6900586E+001, 9.5929665E-001
 4.7000566E+001, 9.5175531E-001
 4.7100231E+001, 9.4821601E-001
 4.7201540E+001, 9.5384363E-001
 4.7300677E+001, 9.6098918E-001
 4.7400404E+001, 9.7040199E-001
 4.7501288E+001, 9.7887736E-001
 4.7601569E+001, 9.8376837E-001
 4.7700089E+001, 9.8542382E-001
 4.7800546E+001, 9.8919912E-001
 4.7900726E+001, 9.9747009E-001
 4.8000450E+001, 1.0134405E+000
 4.8100799E+001, 1.0343980E+000
 4.8200432E+001, 1.0528738E+000
 4.8301314E+001, 1.0648229E+000
 4.8400582E+001, 1.0710066E+000
 4.8501248E+001, 1.0730304E+000
 4.8600940E+001, 1.0774345E+000
 4.8700120E+001, 1.0816498E+000
 4.8801337E+001, 1.0809663E+000
 4.8901361E+001, 1.0756032E+000
 4.9001383E+001, 1.0715496E+000
 4.9100392E+001, 1.0649165E+000
 4.9201010E+001, 1.0586394E+000
 4.9301629E+001, 1.0567304E+000
 4.9400513E+001, 1.0641898E+000
 4.9500867E+001, 1.0612653E+000
 4.9600470E+001, 1.0435854E+000
 4.9700286E+001, 1.0204965E+000
 4.9800568E+001, 1.0080352E+000
 4.9901182E+001, 1.0060060E+000
 5.0001515E+001, 1.0092139E+000
 5.0101559E+001, 1.0195825E+000
 5.0200165E+001, 1.0315723E+000
 5.0300707E+001, 1.0280633E+000
 5.0400689E+001, 1.0180213E+000
 5.0501130E+001, 1.0076623E+000
 5.0600211E+001, 1.0014710E+000
 5.0701492E+001, 9.8811654E-001
 5.0800059E+001, 9.7536570E-001
 5.0901235E+001, 9.7348649E-001
 5.1001182E+001, 9.6777261E-001
 5.1100410E+001, 9.5925319E-001
 5.1200821E+001, 9.5608285E-001
 5.1301370E+001, 9.5976050E-001
 5.1401319E+001, 9.6069250E-001
 5.1501622E+001, 9.5698976E-001
 5.1600736E+001, 9.4745543E-001
 5.1700344E+001, 9.4652401E-001
 5.1801240E+001, 9.5446535E-001
 5.1900365E+001, 9.5927095E-001
 5.2001118E+001, 9.5784326E-001
 5.2100976E+001, 9.5248475E-001
 5.2201136E+001, 9.4685861E-001
 5.2300379E+001, 9.4295499E-001
 5.2400251E+001, 9.4101116E-001
 5.2500377E+001, 9.5065857E-001
 5.2600173E+001, 9.6506591E-001
 5.2701784E+001, 9.7507429E-001
 5.2801751E+001, 9.8133850E-001
 5.2901612E+001, 9.8820923E-001
 5.3000400E+001, 9.9311862E-001
 5.3100435E+001, 9.9284008E-001
 5.3200860E+001, 9.9247333E-001
 5.3300230E+001, 9.9007598E-001
 5.3401308E+001, 9.8827673E-001
 5.3500188E+001, 9.8998610E-001
 5.3601494E+001, 9.9394199E-001
 5.3701053E+001, 9.9958424E-001
 5.3800962E+001, 1.0072203E+000
 5.3901458E+001, 1.0095793E+000
 5.4000386E+001, 1.0121844E+000
 5.4101019E+001, 1.0098023E+000
 5.4200047E+001, 1.0028809E+000
 5.4300940E+001, 1.0062402E+000
 5.4401576E+001, 1.0160587E+000
 5.4500488E+001, 1.0213946E+000
 5.4600528E+001, 1.0253828E+000
 5.4701082E+001, 1.0333838E+000
 5.4800111E+001, 1.0433866E+000
 5.4900669E+001, 1.0426165E+000
 5.5000103E+001, 1.0333663E+000
 5.5100864E+001, 1.0282200E+000
 5.5200801E+001, 1.0287976E+000
 5.5300579E+001, 1.0281028E+000
 5.5400355E+001, 1.0366612E+000
 5.5500898E+001, 1.0503803E+000
 5.5600927E+001, 1.0605354E+000
 5.5700952E+001, 1.0601899E+000
 5.5800955E+001, 1.0570486E+000
