s,C,null,m,null,C,C,null,kW/m2,kW/m2,null,C,kW/m2
 3.1800192E+003, 3.7328276E+001, 3.1073127E+001, 2.3963657E+000, 1.6766910E+000, 2.0950909E+002, 1.0511340E+002, 4.4977684E+001, 3.5072772E+000, 1.1242572E+000, 4.5083529E-001, 5.5334033E+001, 7.6968182E-001
 3.1950172E+003, 3.5142943E+001, 3.0892006E+001, 2.2302624E+000, 1.6136284E+000, 2.0731438E+002, 1.0431589E+002, 4.4819284E+001, 3.4598269E+000, 1.0332594E+000, 4.3388617E-001, 5.5192276E+001, 7.6586330E-001
 3.2100114E+003, 3.5181981E+001, 3.0726529E+001, 2.2155410E+000, 1.6102631E+000, 2.0509511E+002, 1.0349511E+002, 4.4650399E+001, 3.4655501E+000, 1.0865026E+000, 4.3019699E-001, 5.5053577E+001, 7.6495809E-001
 3.2250055E+003, 3.6211642E+001, 3.0870530E+001, 2.3035515E+000, 1.6620621E+000, 2.0302051E+002, 1.0265183E+002, 4.4473109E+001, 3.4224641E+000, 1.0819361E+000, 4.2342588E-001, 5.4915959E+001, 7.5701672E-001
 3.2400220E+003, 3.6249878E+001, 3.0779745E+001, 2.2625925E+000, 1.6793048E+000, 2.0110629E+002, 1.0188111E+002, 4.4290836E+001, 3.4845173E+000, 1.0350557E+000, 4.2766711E-001, 5.4762736E+001, 7.4697750E-001
 3.2550161E+003, 3.6436443E+001, 3.0613777E+001, 2.3230772E+000, 1.6977589E+000, 1.9921193E+002, 1.0122481E+002, 4.4101430E+001, 3.3510803E+000, 1.0486312E+000, 4.1364032E-001, 5.4606137E+001, 7.4537673E-001
 3.2700103E+003, 3.6553133E+001, 3.0603964E+001, 2.4346698E+000, 1.7167379E+000, 1.9725960E+002, 1.0054657E+002, 4.3929990E+001, 3.3206938E+000, 1.0135144E+000, 4.1465908E-001, 5.4459351E+001, 7.4477279E-001
 3.2850044E+003, 3.7843564E+001, 3.0483641E+001, 2.4167724E+000, 1.6798969E+000, 1.9533245E+002, 9.9746068E+001, 4.3769011E+001, 3.3060388E+000, 1.0199034E+000, 4.2034777E-001, 5.4311455E+001, 7.3816911E-001
 3.3000208E+003, 3.4349345E+001, 3.0421681E+001, 2.2300216E+000, 1.6856415E+000, 1.9342174E+002, 9.8989699E+001, 4.3581107E+001, 3.1929108E+000, 1.0418307E+000, 4.2526937E-001, 5.4163834E+001, 7.3412644E-001
 3.3150150E+003, 3.5552217E+001, 3.0459710E+001, 2.3057187E+000, 1.6959797E+000, 1.9157062E+002, 9.8313937E+001, 4.3384457E+001, 3.3148447E+000, 9.7269198E-001, 4.1055144E-001, 5.4009894E+001, 7.2546030E-001
 3.3300091E+003, 3.5600313E+001, 3.0328800E+001, 2.3590212E+000, 1.6425454E+000, 1.8993443E+002, 9.7598510E+001, 4.3204906E+001, 3.4024302E+000, 1.0080944E+000, 3.9727106E-001, 5.3839320E+001, 7.1236263E-001
 3.3450033E+003, 3.4771068E+001, 3.0267233E+001, 2.2773240E+000, 1.6483067E+000, 1.8828815E+002, 9.6947087E+001, 4.3041893E+001, 3.1901936E+000, 9.9786034E-001, 4.1662423E-001, 5.3658952E+001, 7.0917634E-001
 3.3600197E+003, 3.5493613E+001, 3.0291733E+001, 2.3276250E+000, 1.6401690E+000, 1.8647486E+002, 9.6379365E+001, 4.2899816E+001, 3.1290736E+000, 9.9137391E-001, 4.0268699E-001, 5.3489700E+001, 7.0726627E-001
 3.3750139E+003, 3.6320460E+001, 3.0284471E+001, 2.3620056E+000, 1.7149197E+000, 1.8468743E+002, 9.5790949E+001, 4.2713335E+001, 3.0905317E+000, 9.8085820E-001, 3.9560432E-001, 5.3323984E+001, 7.0607680E-001
 3.3900080E+003, 3.5520435E+001, 3.0123875E+001, 2.3276547E+000, 1.6468308E+000, 1.8294649E+002, 9.5201240E+001, 4.2536926E+001, 3.0435631E+000, 1.0056157E+000, 4.0208590E-001, 5.3174948E+001, 7.1102826E-001
 3.4050022E+003, 3.5114456E+001, 3.0122535E+001, 2.3585823E+000, 1.7414758E+000, 1.8130911E+002, 9.4561056E+001, 4.2379621E+001, 3.0112492E+000, 9.1740114E-001, 3.8720930E-001, 5.3051537E+001, 7.1220377E-001
 3.4200186E+003, 3.4029397E+001, 3.0014374E+001, 2.2885437E+000, 1.7053283E+000, 1.7986264E+002, 9.3872910E+001, 4.2219478E+001, 3.1916948E+000, 9.0009745E-001, 3.7789591E-001, 5.2920319E+001, 7.0400244E-001
 3.4350128E+003, 3.5108223E+001, 2.9951094E+001, 2.4273216E+000, 1.6422070E+000, 1.7855007E+002, 9.3222688E+001, 4.2075310E+001, 3.1092008E+000, 9.4710179E-001, 3.7848555E-001, 5.2782961E+001, 7.0072139E-001
 3.4500069E+003, 3.4726304E+001, 2.9830146E+001, 2.3851510E+000, 1.6310848E+000, 1.7721075E+002, 9.2710135E+001, 4.1927766E+001, 3.1171510E+000, 9.6810079E-001, 3.7887607E-001, 5.2653388E+001, 7.0120905E-001
 3.4650011E+003, 3.5236450E+001, 2.9688241E+001, 2.4184121E+000, 1.6507803E+000, 1.7569947E+002, 9.2215703E+001, 4.1796917E+001, 2.9980713E+000, 9.5164427E-001, 3.8033700E-001, 5.2528903E+001, 6.9820160E-001
 3.4800175E+003, 3.4366118E+001, 2.9634288E+001, 2.4278693E+000, 1.6481573E+000, 1.7410549E+002, 9.1662078E+001, 4.1645048E+001, 2.9518531E+000, 8.9650870E-001, 3.6189423E-001, 5.2402948E+001, 6.9467798E-001
 3.4950116E+003, 3.3436819E+001, 2.9596038E+001, 2.2797823E+000, 1.7533563E+000, 1.7252295E+002, 9.1105937E+001, 4.1472055E+001, 2.9154192E+000, 9.1890475E-001, 3.7345098E-001, 5.2277907E+001, 6.8931761E-001
 3.5100058E+003, 3.4342913E+001, 2.9598216E+001, 2.3506119E+000, 1.7678378E+000, 1.7101357E+002, 9.0505903E+001, 4.1311334E+001, 2.8931274E+000, 9.4410443E-001, 3.7067013E-001, 5.2146532E+001, 6.8387058E-001
 3.5250222E+003, 3.4753447E+001, 2.9579147E+001, 2.3763807E+000, 1.7198490E+000, 1.6954197E+002, 8.9881425E+001, 4.1166313E+001, 2.8186150E+000, 9.6358152E-001, 3.6522052E-001, 5.2014158E+001, 6.8096627E-001
 3.5400164E+003, 3.3107697E+001, 2.9492251E+001, 2.2648173E+000, 1.7908610E+000, 1.6818995E+002, 8.9195375E+001, 4.1015220E+001, 2.8914151E+000, 9.6148814E-001, 3.7871954E-001, 5.1878969E+001, 6.7486432E-001
 3.5550105E+003, 3.3353990E+001, 2.9526166E+001, 2.3579342E+000, 1.8239698E+000, 1.6709654E+002, 8.8613360E+001, 4.0862418E+001, 2.8633894E+000, 8.6390300E-001, 3.4779376E-001, 5.1742111E+001, 6.7161516E-001
 3.5700047E+003, 3.3864423E+001, 2.9549857E+001, 2.4092804E+000, 1.8451564E+000, 1.6594693E+002, 8.8034604E+001, 4.0707067E+001, 2.8020589E+000, 8.5074114E-001, 3.6728572E-001, 5.1607446E+001, 6.6891954E-001
 3.5850211E+003, 3.3509213E+001, 2.9342143E+001, 2.3658682E+000, 1.7853970E+000, 1.6471419E+002, 8.7450230E+001, 4.0550169E+001, 2.7363854E+000, 9.1810613E-001, 3.5131145E-001, 5.1473998E+001, 6.6491006E-001
 3.6000152E+003, 3.3726014E+001, 2.9353220E+001, 2.3106663E+000, 1.8329160E+000, 1.6341485E+002, 8.6948624E+001, 4.0401714E+001, 2.6716121E+000, 8.9155474E-001, 3.4773149E-001, 5.1341110E+001, 6.6261362E-001
