s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2","GAS SOOT"
 7.0007791E+001, 2.0420678E-001, 2.0755366E-001, 8.1726729E-006, 2.3415920E-003, 5.4017311E+001, 2.1788143E+001, 8.0698235E+001, 1.6455757E-004, 1.6455757E-004, 5.0664954E-003
 7.1004945E+001, 2.0424822E-001, 2.0755367E-001, 8.0714993E-006, 2.3173877E-003, 5.3465655E+001, 2.2018671E+001, 8.3109576E+001, 1.6993955E-004, 1.6993955E-004, 5.2104881E-003
 7.2006432E+001, 2.0429287E-001, 2.0755366E-001, 7.9624620E-006, 2.2913022E-003, 5.3232647E+001, 2.2940814E+001, 8.6373001E+001, 1.6925937E-004, 1.6925937E-004, 5.3549231E-003
 7.3011034E+001, 2.0424470E-001, 2.0755366E-001, 8.0800780E-006, 2.3194401E-003, 5.3751884E+001, 2.2906257E+001, 8.7121194E+001, 1.7360482E-004, 1.7360482E-004, 5.5013227E-003
 7.4008814E+001, 2.0410741E-001, 2.0755366E-001, 8.4153130E-006, 2.3996400E-003, 5.4868000E+001, 2.3351895E+001, 9.0711588E+001, 1.7475303E-004, 1.7475303E-004, 5.6499518E-003
 7.5003425E+001, 2.0410393E-001, 2.0755366E-001, 8.4238195E-006, 2.4016751E-003, 5.4853861E+001, 2.4071566E+001, 9.2858152E+001, 1.7606671E-004, 1.7606671E-004, 5.7993656E-003
 7.6007362E+001, 2.0412908E-001, 2.0755366E-001, 8.3624055E-006, 2.3869827E-003, 5.4611865E+001, 2.5195370E+001, 9.4939397E+001, 1.7970857E-004, 1.7970857E-004, 5.9506161E-003
 7.7007463E+001, 2.0414331E-001, 2.0755356E-001, 8.3276611E-006, 2.3786706E-003, 5.4283497E+001, 2.5918883E+001, 9.5772357E+001, 1.8079799E-004, 1.8079799E-004, 6.1042337E-003
 7.8013051E+001, 2.0412559E-001, 2.0755137E-001, 8.3709424E-006, 2.3890250E-003, 5.4286104E+001, 2.6737745E+001, 9.8179133E+001, 1.8590737E-004, 1.8590737E-004, 6.2603232E-003
 7.9012577E+001, 2.0409091E-001, 2.0754830E-001, 8.4556182E-006, 2.4092824E-003, 5.4529144E+001, 2.6763493E+001, 1.0045128E+002, 1.8589307E-004, 1.8589307E-004, 6.4183540E-003
 8.0006573E+001, 2.0406426E-001, 2.0754609E-001, 8.5206844E-006, 2.4248486E-003, 5.4724969E+001, 2.7269295E+001, 1.0227963E+002, 1.9081170E-004, 1.9081170E-004, 6.5772942E-003
