s,Pa
FDS Time,"Pressure"
 1.8363379E+002,-2.8725314E+003
 1.8390382E+002,-2.8503337E+003
 1.8421245E+002,-2.8037370E+003
 1.8452106E+002,-2.7412070E+003
 1.8482968E+002,-2.6821813E+003
 1.8510561E+002,-2.6259736E+003
 1.8541603E+002,-2.5751911E+003
 1.8572647E+002,-2.5226338E+003
 1.8600240E+002,-2.4822136E+003
 1.8631284E+002,-2.4398951E+003
 1.8662326E+002,-2.4146918E+003
 1.8693713E+002,-2.3884948E+003
 1.8723256E+002,-2.3539209E+003
 1.8750366E+002,-2.3342091E+003
 1.8780867E+002,-2.3036984E+003
 1.8811366E+002,-2.2738831E+003
 1.8841866E+002,-2.2495215E+003
 1.8872365E+002,-2.2334005E+003
 1.8902864E+002,-2.2291715E+003
 1.8932347E+002,-2.2193143E+003
 1.8962169E+002,-2.2222209E+003
 1.8991991E+002,-2.2286883E+003
 1.9021812E+002,-2.2273526E+003
 1.9052380E+002,-2.2450515E+003
 1.9081084E+002,-2.2703536E+003
 1.9113887E+002,-2.3017868E+003
 1.9142592E+002,-2.3373155E+003
 1.9173344E+002,-2.3632621E+003
 1.9200407E+002,-2.3908706E+003
 1.9234138E+002,-2.4061354E+003
 1.9263725E+002,-2.4190035E+003
 1.9290077E+002,-2.4351469E+003
 1.9321323E+002,-2.4339959E+003
 1.9350310E+002,-2.4384691E+003
 1.9383438E+002,-2.4448526E+003
 1.9412425E+002,-2.4470683E+003
 1.9441412E+002,-2.4367174E+003
 1.9473299E+002,-2.4241149E+003
 1.9503198E+002,-2.4031797E+003
 1.9531786E+002,-2.3905766E+003
 1.9562044E+002,-2.3792168E+003
 1.9590970E+002,-2.3703570E+003
 1.9621272E+002,-2.3443360E+003
 1.9653468E+002,-2.3050921E+003
 1.9680081E+002,-2.2723339E+003
 1.9710007E+002,-2.2454299E+003
 1.9743675E+002,-2.2033990E+003
 1.9773602E+002,-2.1582203E+003
 1.9803529E+002,-2.1334540E+003
 1.9833456E+002,-2.1059029E+003
 1.9863383E+002,-2.0761142E+003
 1.9893309E+002,-2.0546187E+003
 1.9923236E+002,-2.0288493E+003
 1.9953163E+002,-1.9860603E+003
 1.9980785E+002,-1.9571501E+003
 2.0010992E+002,-1.9367001E+003
 2.0041202E+002,-1.9278581E+003
 2.0072752E+002,-1.9132853E+003
 2.0102289E+002,-1.8937996E+003
 2.0131827E+002,-1.8893087E+003
 2.0162810E+002,-1.8876070E+003
 2.0192670E+002,-1.8615912E+003
 2.0222530E+002,-1.8451723E+003
 2.0252390E+002,-1.8378617E+003
 2.0282249E+002,-1.8360254E+003
 2.0312108E+002,-1.8414296E+003
 2.0341968E+002,-1.8432555E+003
 2.0370502E+002,-1.8466677E+003
 2.0401157E+002,-1.8588012E+003
 2.0433273E+002,-1.8740908E+003
 2.0461374E+002,-1.8669606E+003
 2.0493491E+002,-1.8769346E+003
 2.0521591E+002,-1.8839770E+003
 2.0553708E+002,-1.8777468E+003
 2.0581808E+002,-1.8851665E+003
 2.0613925E+002,-1.8901084E+003
 2.0642026E+002,-1.8675149E+003
 2.0670128E+002,-1.8671007E+003
 2.0700183E+002,-1.8806933E+003
 2.0732605E+002,-1.8810760E+003
 2.0762865E+002,-1.8634392E+003
 2.0792848E+002,-1.8651885E+003
 2.0821114E+002,-1.8685556E+003
